created,text
2020-03-16 11:12:59,RT @museun_happen: 중국에서 퍼지는 손흥민 중국인설 https://t.co/H77u7uFSHH
2020-03-16 11:09:43,"RT @gapsikisgood: 2020한국을 대표하는 인물 TOP 20 (문화체육관광부 발표)

1. 문재인
2. 온앤오프
3. 이민호
4. 송혜교
5. 싸이
6. 데이식스
7. 블랙핑크
8. 스트레이키즈
9. 반기문
10. 손흥민
11. 온앤오프…"
2020-03-16 11:06:14,ㅋㅋㅋ하.. 하데스토벌전 초행 와주실분 새싹데리고기다리는데 사람이안와 파찾 손흥민콧구멍
2020-03-16 10:43:57,"RT @gapsikisgood: 2020한국을 대표하는 인물 TOP 20 (문화체육관광부 발표)

1. 문재인
2. 온앤오프
3. 이민호
4. 송혜교
5. 싸이
6. 데이식스
7. 블랙핑크
8. 스트레이키즈
9. 반기문
10. 손흥민
11. 온앤오프…"
2020-03-16 10:27:38,@yyslykkhslyjy 손흥민이 축구를 잘하는게 아니라 손흥민 다리가 축구를 잘 하는거다...ㅋ
2020-03-16 10:18:28,"RT @adorable7hm: 손흥민신기술ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나중에 공 줍기 귀찮으니까 일어나면서 허벅지로 공줍기,, 싹다 귀여워 ㅠ ㅠ https://t.co/uZ0Iojl640"
2020-03-16 10:05:21,"RT @shineuna4411: 👉🏻혹시 흥민 선수님 담요 있으신 분👈🏻

몇 번 착용하셨거나, 실밥 등 어느정도 하자가 있어도 괜찮으니 편하게 DM 주세요😊

🌟담요를 구하게 되면, 이 트윗을 RT 하신 분들 중 추첨을 통해 '고래밥' 기프티콘을…"
2020-03-16 10:04:31,"RT @sson_woo16: ⚽️ '아마존'은 올 시즌 토트넘과 동행하며 다큐를 제작해왔고, 시즌 종료 후 공개할 예정.

✅ 이 다큐에서는 포체티노의 경질, 그리고 무리뉴 선임 과정의 내막을 확인할 수 있음

✅ 손흥민의 고메스 태클 사건, 70m…"
2020-03-16 10:03:17,"RT @gapsikisgood: 2020한국을 대표하는 인물 TOP 20 (문화체육관광부 발표)

1. 문재인
2. 온앤오프
3. 이민호
4. 송혜교
5. 싸이
6. 데이식스
7. 블랙핑크
8. 스트레이키즈
9. 반기문
10. 손흥민
11. 온앤오프…"
2020-03-16 09:55:37,"RT @gapsikisgood: 2020한국을 대표하는 인물 TOP 20 (문화체육관광부 발표)

1. 문재인
2. 온앤오프
3. 이민호
4. 송혜교
5. 싸이
6. 데이식스
7. 블랙핑크
8. 스트레이키즈
9. 반기문
10. 손흥민
11. 온앤오프…"
2020-03-16 09:54:04,"RT @gapsikisgood: 2020한국을 대표하는 인물 TOP 20 (문화체육관광부 발표)

1. 문재인
2. 온앤오프
3. 이민호
4. 송혜교
5. 싸이
6. 데이식스
7. 블랙핑크
8. 스트레이키즈
9. 반기문
10. 손흥민
11. 온앤오프…"
2020-03-16 09:53:14,"RT @adorable7hm: 손흥민신기술ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나중에 공 줍기 귀찮으니까 일어나면서 허벅지로 공줍기,, 싹다 귀여워 ㅠ ㅠ https://t.co/uZ0Iojl640"
2020-03-16 09:53:06,"RT @gapsikisgood: 2020한국을 대표하는 인물 TOP 20 (문화체육관광부 발표)

1. 문재인
2. 온앤오프
3. 이민호
4. 송혜교
5. 싸이
6. 데이식스
7. 블랙핑크
8. 스트레이키즈
9. 반기문
10. 손흥민
11. 온앤오프…"
